idempresa,olat,olon,n_obs,sd_km
1074,-41.32669,-71.49813,764,0
1018,-43.88496,-68.41223,760,0
1057,-41.61177,-65.35517,786,0
974,-40.82467,-62.97293,764,0
1048,-53.29937,-68.455925,524,0
993,-36.61919,-64.26771,760,0
968,-37.32895,-59.13493,756,0
1084,-45.59946,-69.07824,766,0
855,-38.9733,-64.10502,754,0
1266,-37.84744,-57.5105,748,0
566,-33.28927,-60.26975,746,0
933,-35.57292,-57.97931,750,0
764,-36.31655,-57.69864,766,0
1264,-35.32306,-58.0508,750,0
765,-35.70028,-58.88966,756,0
934,-34.92267,-59.98865,366,0
1263,-35.4805,-60.87224,698,0
960,-38.36029,-59.62522,764,0
763,-34.40463,-59.82795,744,0
595,-34.0723,-60.04981,744,0
569,-33.78377,-59.6385,760,0
806,-34.38209,-58.75149,840,0
7479,-30.95901,-64.27355,774,0
624,-29.50556,-63.70104,774,0
9201,-32.26913,-58.23992,702,0
7089,-30.3217210216645,-69.21017138514,774,0
1406,-37.72131,-67.76422,762,0
7657,-29.876746,-61.938064,762,0
1067,-44.68911,-66.62486,782,0
474,-25.12386,-66.16447,778,0
592,-34.5844,-59.0546,756,0
603,-25.32206,-57.73272,766,0
571,-27.44128,-57.36488,772,0
558,-25.61534,-54.55907,754,0
551,-26.26158,-53.64826,738,0
6581,-23.90395,-61.84195,776,0
794,-27.577,-65.61253,760,0
9352,-23.23783,-67.018995,536,0
1361,-25.61885,-63.271,768,0
899,-32.21532,-67.79679,760,0
791,-22.54067,-63.80277,770,0
900,-28.92089,-67.519,772,0
901,-27.2234756492634,-66.8216057932963,764,0
797,-29.22216,-65.77432,784,0
904,-33.64798,-65.44421,749,0
476,-33.53326,-62.86858,750,0
620,-22.10296,-65.59984,760,0
7452,-30.64001,-67.46759,772,0
823,-32.1629,-64.44166,754,0
658,-28.93009,-65.09155,776,0
6389,-32.73336,-61.83408,746,0
783,-31.42041,-62.06421,750,0
821,-32.41499,-63.23405,740,0
637,-25.79937,-64.96985,762,0
615,-24.184167,-65.3085,764,0
7856,-33.00902,-58.51886,766,0
1464,-27.45771,-59.00764,729,0
3228,-53.78036,-67.71667,714,0
3227,-53.7866934237849,-67.7008273368296,531,0
3216,-53.78247,-67.69527,714,0
10287,-53.808487,-67.684547,328,0
8967,-53.809763,-67.78,698,0
1661,-32.0557,-61.59891,669,0
913,-32.05546,-61.58817,749,0
2742,-34.61268,-58.4342,12,0
2692,-34.62397,-58.46459,614,0
3746,-27.609653,-61.340369,288,0
3597,-27.092,-61.07706,881,0
3442,-27.225825,-61.186991,1219,0
3472,-27.227198,-61.177663,1207,0
8628,-34.09679,-59.02268,68,0
8629,-34.578115,-58.528954,94,0
8614,-34.63736,-58.55289,90,0
8605,-31.43932,-64.12824,88,0
8645,-37.10944,-56.87778,82,0
8598,-34.57031,-58.443728,78,0
8574,-37.9913,-57.5747,86,0
8584,-34.567834,-58.486913,92,0
8573,-37.96682,-57.55063,80,0
8595,-34.586741,-58.441015,86,0
8596,-34.64796,-58.42886,58,0
8602,-34.508622,-58.479558,64,0
8555,-34.575093,-58.46287,78,0
8634,-34.650873,-58.512705,94,0
8567,-34.49434,-58.55147,90,0
8612,-32.928727,-60.73858,98,0
8585,-34.61422,-58.46062,78,0
8575,-34.62715,-58.38458,94,0
8620,-34.551232,-58.721325,84,0
8623,-31.29983,-64.28759,98,0
8597,-34.72509,-58.251123,78,0
8588,-34.64653,-58.52882,96,0
8590,-34.64493,-58.52956,96,0
8570,-37.99974,-57.5963,92,0
8587,-34.621937,-58.428066,78,0
8616,-34.53165,-58.46892,98,0
8576,-34.547108,-58.457442,78,0
8617,-34.528166,-58.480985,100,0
8569,-34.163292,-58.960525,72,0
8593,-34.562204,-58.466072,78,0
8586,-34.583515,-58.4973,78,0
8632,-34.486592,-58.617543,84,0
8604,-34.57287,-58.544,46,0
8599,-34.632283,-58.62624,78,0
8577,-34.61029,-58.41152,94,0
8580,-34.63288,-58.47931,78,0
8571,-34.17469,-58.96012,72,0
8633,-34.748822,-58.581549,78,0
8568,-34.49738,-58.55561,74,0
8624,-34.808928,-58.277861,80,0
8583,-34.615767,-58.527724,78,0
8646,-31.40009,-64.17335,92,0
8613,-32.949665,-60.682007,76,0
8591,-33.00897,-60.66501,96,0
8643,-31.40749,-64.17769,94,0
8601,-32.94073,-60.67093,14,0
8630,-34.74212,-58.49545,84,0
8589,-32.942095,-60.661196,98,0
8631,-34.45721,-58.62828,88,0
8581,-34.63214,-58.5015,78,0
8592,-34.61214,-58.40535,94,0
8578,-34.585982,-58.398697,78,0
8594,-34.578666,-58.406559,78,0
8572,-37.999086,-57.553949,98,0
8603,-31.39059,-64.20382,94,0
8600,-34.510049,-58.524386,88,0
8626,-38.70385,-62.269456,72,0
8615,-34.72767,-58.261732,84,0
8611,-31.64137,-60.65909,90,0
8609,-34.51751,-58.512892,90,0
8619,-34.84049,-58.1879,86,0
8610,-34.70175,-58.58013,78,0
8606,-34.45039,-58.87058,94,0
8622,-34.394724,-58.739655,128,0
8747,-34.12473,-59.022212,210,0
8608,-36.77694,-59.82342,18,0
8627,-34.191044,-58.944916,102,0
8582,-34.606209,-58.450831,78,0
8621,-32.96089,-60.64002,94,0
8625,-38.68556,-62.22917,72,0
8579,-34.563836,-58.496603,92,0
7932,-33.00995,-60.63555,1284,0
5642,-27.47526,-58.79819,1044,0
7314,-32.03306,-60.30972,1125,0
4161,-30.749805,-59.580639,850,0
9080,-31.528475,-68.568622,711,0
7746,-31.645887,-60.698429,1012,0
7743,-32.94387,-60.65365,902,0
7742,-32.941222,-60.641023,906,0
7745,-32.952182,-60.642321,906,0
7744,-32.940399,-60.66556,1049,0
9713,-32.967864,-60.711872,654,0
7333,-31.4542989687658,-60.9127837220764,838,0
11153,-31.4542989687658,-60.9127837220764,76,0
3439,-29.88865,-60.28032,886,0
7350,-30.224,-61.731,864,0
8003,-32.8490593734865,-60.7067802797623,1002,0
2415,-32.89775,-68.796497222,116,0
2424,-32.901497,-68.760876,120,0
2429,-32.893552,-68.789834,114,0
2656,-24.24724,-65.21521,735,0
4875,-34.704833,-58.70534,212,0
9791,-34.704833,-58.70534,505,0
470,-34.66243,-58.67396,337,0
7420,-36.391688,-56.754614,38,0
3757,-32.39228,-59.53501,739,0
6628,-32.893768,-60.707476,1142,0
10633,-32.89315,-60.69981,328,0
5994,-31.44274,-61.25829,144,0
11031,-37.841179,-58.248416,10,0
255,-33.53294,-62.86955,495,0
8863,-33.53294,-62.86955,250,0
2026,-34.5499,-58.55158,735,0
2510,-31.010287,-62.67034,34,0
9808,-31.407841,-62.302849,316,0
10520,-29.87725,-61.93866,8,0
10518,-29.87982,-61.94607,54,0
10887,-31.6078,-60.719829,40,0
10699,-30.545497,-61.954165,8,0
3905,-34.80651,-58.48341,773,0
4755,-27.733904,-64.247733,76,0
4605,-35.00895,-63.37239,2,0
3107,-34.5131,-58.56743,899,0
9796,-32.196112,-59.396608,184,0
4087,-32.1702,-64.14552,842,0
4090,-32.16898,-64.10281,104,0
9435,-31.758438,-63.771032,104,0
10314,-32.165913,-64.457672,70,0
2067,-30.858827,-64.983835,745,0
10491,-30.63673,-65.392308,6,0
2062,-30.727834,-64.805269,749,0
10552,-34.777593,-62.999506,120,0
8845,-36.00449,-58.13971,736,0
3010,-35.5153,-58.32177,750,0
11061,-37.12995,-56.87914,104,0
2923,-34.90644,-57.96068,735,0
7384,-35.56851,-58.0158,742,0
2996,-35.77187,-58.49324,750,0
3006,-35.77105,-58.52012,848,0
2988,-35.43586,-58.78164,810,0
2980,-35.774059,-58.50669,852,0
6377,-35.67589,-58.43538,380,0
2667,-32.73383,-65.29,737,0
2476,-34.9142697668551,-57.9836793005943,826,0
7233,-32.066961,-60.446841,169,0
9878,-29.9406915,-58.4390985,1016,42.4
599,-38.03389,-60.09683,746,0
4857,-31.632709,-60.717591,112,0
3595,-32.178445,-58.786654,1043,0
2537,-32.37013,-58.88668,1262,0
9510,-34.82317,-58.48237,876,0
3624,-38.93258,-69.21882,712,0
3959,-39.06627,-68.56039,722,0
3962,-38.92993,-69.22744,2,0
3623,-38.92993,-69.22744,722,0
10752,-38.95511,-68.076098,290,0
3956,-38.93086,-69.19632,722,0
3296,-34.99373,-61.01099,288,0
3327,-34.999996,-61.039886,280,0
266,-38.02633,-57.56094,862,0
267,-38.04369,-57.54414,864,0
611,-37.99395,-57.55052,858,0
6730,-32.686574,-58.867919,127,0
3023,-31.387491,-64.190763,315,0
4220,-31.3007,-63.76086,8,0
8064,-34.662192,-58.59638,1696,0
1245,-34.659627,-58.592985,953,0
7363,-29.12403,-59.65367,570,0
10190,-29.146221,-59.646172,206,0
10185,-28.035769,-59.223611,8,0
10290,-26.33881,-54.6179,158,0
8318,-26.403762,-54.631984,410,0
1556,-34.652935,-58.517138,655,0
8375,-27.767624,-64.250861,348,0
9837,-27.764444,-64.249574,678,0
4480,-34.677245,-58.366144,1040,0
6115,-35.77177,-58.4968,868,0
8769,-27.798924,-64.253893,82,0
3007,-32.610132,-62.690632,812,0
1798,-45.88666,-67.52219,704,0
9089,-32.68679,-58.88864,685,0
2300,-32.68679,-58.88864,62,0
6856,-33.31389,-66.32944,1378,0
4355,-33.316415,-66.340694,1285,0
10613,-42.06495,-71.6019,378,0
3300,-32.21669,-65.05022,650,0
4416,-31.531476,-62.724847,60,0
897,-31.40482,-62.62767,319,0
4409,-31.325506,-62.814574,319,0
